zip,unemployed,households,inc10,inc15,inc25,inc35,inc50,inc75,inc100,inc150,inc200,inc201,medianIncome,meanIncome,ssi,cpa,snap,capitaIncome,poverty
48427,9.1,1106,97,93,172,124,188,224,124,62,10,12,39931,47701,26,56,159,18671,12.3
48428,8.4,1819,69,34,119,167,223,355,302,327,156,67,69201,80654,31,62,129,29007,4.4
48429,6.1,3495,250,297,334,471,649,724,426,236,82,26,43348,51799,95,70,522,21355,13.1
48430,6.4,14409,533,584,1255,1316,1918,2923,2046,2405,917,512,63082,77572,300,263,1180,31029,4.9
48432,4.1,285,20,7,31,52,60,70,14,27,0,4,45598,51368,13,14,41,21505,10.1
48433,7.4,10232,442,431,723,879,1500,2718,1394,1468,375,302,60335,71304,261,327,947,28338,6.6
48434,0,37,12,2,3,6,2,9,0,3,0,0,30625,36184,1,0,0,19235,23.5
48435,12.1,676,45,11,88,51,119,212,58,86,0,6,52660,55731,21,16,109,20430,9.7
48436,8.8,1303,58,20,49,134,159,382,222,233,27,19,65387,71684,47,26,58,26390,2.2
48437,4.7,185,53,10,18,26,0,55,0,12,11,0,29297,44684,16,6,52,22214,0
48438,7.3,2435,48,48,93,200,261,424,436,638,192,95,81830,90033,42,56,88,30863,5.7
48439,6.1,18702,643,607,1305,1921,2708,3406,2722,3343,1327,720,64212,80859,421,329,1230,31351,5
48440,12.2,105,0,0,0,0,0,44,61,0,0,0,77952,73477,34,34,34,20992,58.6
48441,6,1738,175,156,208,229,342,350,139,82,20,37,39058,49677,106,63,289,21336,11.5
48442,8.7,7490,261,246,535,531,955,1878,1255,1217,354,258,65524,76116,233,212,669,27918,6.9
48444,8.1,3322,370,90,409,374,592,611,407,412,34,23,44977,54037,83,62,396,19153,9.9
48445,5.2,560,55,66,110,62,75,106,71,9,4,2,32500,41737,31,25,98,17553,15.1
48446,7,11852,905,564,1210,1230,1867,2598,1459,1397,461,161,51109,61964,502,470,1794,23961,8.6
48449,5.5,1117,128,29,130,129,188,174,149,143,38,9,47138,58658,60,72,150,22420,11.1
48450,10.2,2017,139,117,336,283,363,339,193,178,21,48,40574,54989,142,56,179,24995,9.1
48451,7.7,5194,169,201,344,655,592,1172,739,926,276,120,63693,75182,107,93,354,27667,8
48453,8.5,1944,199,141,267,257,345,383,159,130,37,26,40153,49474,73,67,394,19177,13.8
48454,8.3,471,16,27,62,66,84,115,51,43,3,4,44267,53168,7,13,60,19665,8.1
48455,4.8,3011,104,74,130,225,411,670,604,408,225,160,69656,83962,10,54,126,32240,4.7
48456,9.5,366,26,16,35,75,94,48,47,13,12,0,41944,48591,11,3,51,20114,9.7
48457,8.4,2907,128,81,258,378,612,684,386,278,71,31,49764,61523,131,128,326,21578,6.2
48458,12.4,8292,917,526,1747,1238,1430,1230,537,497,111,59,32353,45416,614,615,2107,17955,20.6
48460,6.7,851,56,16,78,79,170,192,161,60,12,27,52708,62210,40,32,57,22513,8.9
48461,8.5,3064,156,143,398,280,544,723,433,262,69,56,50229,59945,153,112,423,20709,9.4
48462,7.1,4804,106,94,364,265,517,885,828,1114,423,208,79760,88160,193,73,210,31361,5.9
48463,10,1689,85,31,182,250,240,459,301,98,33,10,52242,56639,53,44,152,22853,3.9
48464,8.1,800,52,41,62,100,135,247,87,76,0,0,50521,52901,24,27,94,20343,10
48465,7.8,252,9,3,35,31,66,61,30,17,0,0,45588,50905,0,7,14,24782,0
48466,6,584,43,27,92,78,76,144,69,47,5,3,45526,51238,26,20,89,19852,8.5
48467,7.9,1111,89,51,183,177,196,186,110,86,16,17,38189,51448,54,43,133,25651,8.6
48468,6.2,635,32,40,99,99,133,117,56,50,3,6,41023,52832,12,14,40,24494,7.1
48469,3.2,515,34,45,46,74,91,118,73,11,19,4,42240,50461,25,10,28,22717,5.8
48470,8.5,283,4,16,52,45,54,68,14,16,11,3,43839,53694,17,2,28,21082,5.3
48471,8.6,2334,240,188,340,316,346,500,195,151,36,22,37774,50055,141,89,465,21007,9.5
48472,9.4,690,60,31,84,103,134,138,87,39,11,3,40804,49080,26,18,88,17637,12.1
48473,6.9,8754,398,396,760,1014,1238,1877,1488,1093,366,124,55550,65026,241,114,837,26080,5.9
48475,6.1,1039,52,61,134,153,176,224,113,85,32,9,44036,54466,45,40,107,21621,7.1
48476,7.3,250,5,12,51,45,33,62,28,8,6,0,38438,48123,3,0,34,18641,14.8
48502,0,232,119,0,12,40,32,9,0,4,16,0,9605,28735,26,29,71,10436,45.2
48503,11.1,10847,2110,1185,1495,1321,1339,1742,904,575,113,63,29425,40092,1010,1041,3318,17759,27.9
48504,11.7,11888,2184,1063,1915,1544,2141,1727,826,434,35,19,30183,37204,982,1588,3941,14634,31.6
48505,13,9542,2492,867,1796,1538,1428,942,209,207,41,22,23235,29048,1530,1335,4099,11616,37.1
48506,11.2,11537,1738,820,1935,1622,1979,1653,1039,644,83,24,32266,41840,1118,1223,3851,16354,24.1
48507,8.8,12769,1643,928,2296,1483,2215,2215,1033,808,127,21,35205,43020,811,1048,3019,18488,21.9
48509,7.8,3925,229,106,258,510,670,1121,496,365,73,97,53789,61983,144,207,565,24545,6.1
48519,10.1,3168,290,175,483,343,647,693,260,264,13,0,40242,46915,91,74,453,20363,9.2
48529,11.3,3664,499,465,476,485,699,561,345,67,53,14,33225,43466,343,377,1289,17499,23
48532,8.5,8294,680,663,995,998,1430,1497,903,711,246,171,42625,58804,422,271,1503,24691,12.3
48551,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48553,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48554,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48601,12.1,14580,2921,1685,2345,1811,2070,2293,832,443,118,62,27052,36073,1658,1399,5257,14046,34.3
48602,9.4,11311,1360,913,1924,1484,1903,2126,787,613,62,139,34782,44498,1058,742,3045,17916,21.9
48603,3.4,11624,871,647,1410,1332,1809,1921,1401,1340,497,396,47074,66189,428,320,1183,29583,6.5
48604,7.3,4900,473,337,657,435,900,913,710,433,18,24,45610,51136,152,116,852,19920,12.7
48607,12.3,750,227,129,117,152,33,55,25,0,12,0,15552,23958,143,46,369,11386,39.8
48609,5.4,4808,158,252,473,582,765,1181,619,453,185,140,52254,67773,136,70,203,27364,4.8
48610,6.1,1451,164,116,208,227,277,292,78,64,19,6,35938,42799,111,57,264,18923,12.7
48611,3.6,2585,53,65,272,174,380,676,433,380,133,19,60488,69341,74,50,146,25549,2.3
48612,8,4077,372,300,536,631,717,793,436,214,46,32,38758,47103,277,161,684,20055,15.2
48613,8,439,28,7,32,82,107,81,53,31,3,15,43021,63125,28,20,63,25423,5.7
48614,9.2,448,32,15,78,40,65,132,57,23,6,0,46875,50238,34,12,70,17847,12.6
48615,6.5,1163,77,63,126,189,178,256,149,92,13,20,44668,55621,44,45,199,20805,8.7
48616,8,2773,218,99,327,428,400,568,351,300,33,49,46698,58532,88,75,321,22273,9
48617,7.5,3491,374,311,429,370,705,575,307,321,56,43,39792,50038,287,149,724,19553,16
48618,6.2,2203,105,87,335,274,475,383,308,178,49,9,44627,53609,124,58,299,21870,8.4
48619,6.6,191,8,17,11,22,32,65,17,19,0,0,50859,51477,11,6,18,26621,9.8
48621,5.1,526,46,50,109,69,117,56,55,18,3,3,30208,40845,37,4,73,20679,8.2
48622,9.4,2659,153,198,447,302,533,553,265,171,11,26,41733,49649,118,83,394,20519,16.1
48623,4.7,4509,133,119,383,312,618,832,765,823,321,203,68539,85920,95,85,175,28972,3.3
48624,6.5,6929,706,666,918,956,1330,1198,550,404,109,92,38040,48710,333,279,1232,21165,15.2
48625,9.6,5898,825,514,1078,884,1070,969,317,194,17,30,30661,38687,654,336,1661,17126,18.3
48626,5.9,2315,109,85,189,191,345,560,364,374,63,35,60815,67529,62,52,145,25593,4.3
48627,0,66,10,3,15,3,9,26,0,0,0,0,38056,35544,0,0,10,25348,0
48628,9.7,767,26,64,119,120,91,187,90,47,15,8,43828,52021,27,22,62,20759,7.2
48629,9.4,3593,447,254,631,609,643,585,239,110,27,48,33037,49020,313,164,855,22618,15.4
48630,0,51,0,0,8,8,35,0,0,0,0,0,35679,33618,8,0,0,13667,0
48631,6.1,1749,54,0,163,203,339,325,464,129,59,13,55551,69599,73,14,139,27958,3.8
48632,10.9,2078,204,173,357,329,420,355,131,83,26,0,34450,41326,217,136,360,17942,16.7
48633,5.7,93,11,20,19,0,5,3,28,7,0,0,22039,48857,0,6,12,22306,27.4
48634,5.2,1876,53,141,129,177,347,516,227,168,69,49,52969,65186,45,83,190,25949,5.1
48635,6.2,715,66,33,86,132,157,154,39,31,0,17,38403,49236,41,22,62,21587,6.2
48636,6.8,415,5,9,90,69,135,63,33,0,0,11,36835,52245,12,0,70,27737,3
48637,6.9,1232,58,28,207,185,178,222,173,127,39,15,44565,58968,31,36,107,23076,7.8
48638,6.4,5740,413,197,553,596,852,1118,773,988,86,164,54425,66397,138,108,507,29525,5.2
48640,5.1,13045,760,592,1740,1277,1803,2496,1476,1583,521,797,53377,75987,604,312,1531,30676,8.8
48642,4.3,13056,686,625,1474,1310,1997,2348,1449,1551,739,877,54120,77900,520,299,1356,31569,6.4
48647,9.1,2074,172,164,444,387,361,314,115,80,12,25,31480,40773,148,147,436,17005,15.9
48649,6.6,571,8,36,45,77,120,123,106,52,0,4,49911,59073,27,25,59,21365,3.7
48650,8.6,2740,130,138,376,332,514,565,368,262,41,14,43895,55085,105,36,270,22980,8.6
48651,5,2183,114,310,353,358,343,374,141,133,37,20,32868,46665,182,78,444,21334,19.6
48652,5.8,641,19,37,59,108,179,133,57,36,5,8,41849,51862,40,18,82,20953,7.2
48653,7.2,4466,312,393,691,573,930,725,437,314,29,62,38287,50121,240,156,845,22387,13.5
48654,8.7,932,115,78,159,146,136,176,78,33,4,7,33824,41594,52,15,216,17609,14.6
48655,5.7,2422,62,134,324,278,440,561,334,225,22,42,48676,58525,103,46,317,22476,11.3
48656,5.6,2046,273,122,488,308,381,213,180,52,19,10,29455,38507,154,83,394,19140,13.7
48657,5.5,3240,288,120,440,294,463,700,446,336,71,82,50514,61180,92,37,359,24644,9.2
48658,6.7,2126,207,246,350,291,379,320,147,112,41,33,33953,45398,160,109,469,17132,15.1
48659,6.1,960,60,55,130,150,198,245,70,37,4,11,41429,47451,82,27,159,18199,12
48661,5.7,3838,269,300,593,536,795,578,377,273,54,63,39052,51188,230,133,625,21047,9.1
48662,5.1,549,11,21,88,99,48,105,105,42,15,15,51875,68371,9,8,28,25288,5.8
48667,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48701,9.4,617,70,57,77,108,115,107,52,22,5,4,34698,41820,32,32,90,18374,17.3
48703,5.5,1389,128,117,218,183,252,227,138,66,29,31,36426,51015,80,42,212,23393,16
48705,5.5,207,14,14,59,38,41,24,15,0,0,2,30125,35497,4,6,20,16459,12.7
48706,4.9,16914,1251,798,1912,2166,3277,3323,1897,1528,464,298,45863,58569,682,602,2435,24657,8.1
48708,8.4,11184,1289,970,1498,1480,1767,2112,877,990,128,73,38302,47616,771,676,2410,19875,12.6
48710,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48720,3.7,472,44,26,75,83,71,79,37,46,7,4,36667,50171,29,27,48,21863,5.4
48721,6.4,168,12,19,19,21,41,37,13,6,0,0,40357,43221,9,0,8,20628,6.5
48722,6.5,1201,77,6,172,212,252,197,168,89,19,9,42204,53354,82,58,201,21443,4
48723,8.1,4752,426,330,723,525,809,893,512,423,54,57,42263,52358,238,292,795,21241,11.7
48724,4.5,109,13,10,22,15,0,0,32,17,0,0,26583,51508,0,0,10,19695,14.3
48725,6.1,1121,106,100,109,159,212,276,92,24,10,33,39635,48709,56,35,160,23565,8.6
48726,7.3,2529,245,155,435,304,384,481,280,220,3,22,39223,48672,102,86,420,19280,13.7
48727,8.5,455,33,33,39,33,106,117,30,58,6,0,47240,54024,28,24,79,19479,13.5
48728,8.3,154,10,14,25,28,31,9,9,24,4,0,33750,50551,6,3,12,29287,13.1
48729,8.7,571,34,30,94,80,88,136,75,18,9,7,42750,53164,49,17,79,21418,13.2
48730,4.6,2152,220,133,346,286,305,417,204,147,56,38,38523,59737,52,32,292,28842,13.5
48731,5.8,693,36,79,81,88,133,171,69,25,6,5,42788,49249,38,28,91,18790,12.5
48732,6.2,4885,360,298,744,660,632,778,650,560,120,83,44143,57008,286,265,758,24099,12.5
48733,5,745,31,34,89,120,186,166,81,34,0,4,42850,47988,56,51,114,18008,8.1
48734,3.6,2892,90,75,271,297,357,496,495,473,207,131,67333,83743,87,39,87,32341,3.5
48735,10.9,398,28,25,56,37,69,76,71,33,0,3,45278,55293,30,24,60,19578,16.1
48737,9.3,587,69,51,93,118,127,81,22,26,0,0,30250,36633,29,50,104,16938,14.7
48738,7.1,527,41,21,93,75,120,84,44,25,3,21,40033,54020,44,7,85,24373,9.9
48739,11.5,1747,161,164,313,258,355,244,134,66,42,10,33777,42690,132,75,434,18283,17.9
48740,5.8,1016,90,65,179,144,152,206,76,63,28,13,37727,49351,52,19,132,21190,10.6
48741,6.8,840,32,81,107,130,169,141,115,60,5,0,41852,48741,46,48,163,18357,20.2
48742,3.4,692,50,57,112,95,139,116,66,36,2,19,37813,49866,37,16,81,21934,8.6
48743,0,4,0,0,4,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48744,7.9,1801,100,57,185,248,344,401,301,111,47,7,47957,55555,75,62,268,21010,7.8
48745,10.9,509,38,41,100,104,69,91,57,0,9,0,32625,40008,36,42,73,16087,11.9
48746,8.4,3012,82,156,405,260,625,688,331,405,40,20,48333,57086,143,47,405,21018,10.2
48747,11.6,587,17,20,78,62,81,124,84,105,12,4,57875,65005,12,10,44,24389,3.7
48748,6.1,748,57,70,113,151,101,192,31,18,12,3,34012,42145,73,21,140,17695,14.9
48749,3.8,505,55,25,85,85,75,115,42,15,3,5,35391,44580,15,26,72,19877,12.7
48750,5.9,3675,349,263,585,598,680,698,252,203,31,16,36042,45459,273,117,667,20429,16
48754,5.7,332,22,14,36,43,89,74,32,17,3,2,42308,49857,10,6,37,18999,5.8
48755,4.3,1342,76,58,224,223,228,236,119,130,25,23,42534,54055,31,25,71,24059,7.1
48756,9.2,1681,293,235,267,211,309,216,91,46,10,3,26698,34865,259,187,524,14333,27.4
48757,3.5,1610,62,84,135,144,346,395,225,196,21,2,51181,58499,50,43,139,24365,6.6
48759,4.6,1457,76,78,272,128,372,288,152,78,6,7,41081,47008,48,27,109,20904,9.4
48760,11.5,503,51,18,90,76,95,78,75,13,5,2,36375,45568,18,19,69,17073,13.6
48761,9.3,505,77,46,73,81,130,59,16,19,4,0,32330,35565,26,7,110,17588,3.2
48762,4.2,513,26,29,78,71,104,94,58,37,4,12,40813,54009,13,1,37,24959,7.1
48763,6.3,2110,83,204,279,280,458,375,215,147,44,25,40959,54108,113,97,286,22607,7.8
48765,7.1,302,21,29,44,74,40,67,16,11,0,0,33583,39839,35,9,62,17976,9.8
48766,10.9,515,59,43,92,95,86,71,56,10,0,3,32438,41043,29,23,128,16477,13
48767,9.6,844,34,33,91,101,131,233,109,83,15,14,53017,60209,29,22,53,23285,4.2
48768,9.9,3772,250,166,524,518,762,745,476,243,64,24,42213,51258,136,163,555,19741,12
48770,6.8,766,85,62,159,102,101,144,56,48,5,4,33476,43188,61,33,191,16295,21.6
48801,8.6,4597,433,488,757,578,642,895,419,266,53,66,35644,48049,365,185,1071,18361,17.3
48806,8.9,584,30,50,61,78,75,154,74,50,9,3,49773,55036,33,14,67,20169,9.1
48807,6.3,310,23,19,29,51,47,83,31,22,3,2,46111,52327,17,15,32,22146,5.7
48808,5.9,2278,202,42,195,187,269,425,501,307,117,33,63396,68944,47,65,284,27986,9.2
48809,8.4,4081,464,331,307,431,629,934,542,354,20,69,47920,54255,257,181,937,19989,15.2
48811,3.5,1416,66,103,124,235,247,287,188,137,25,4,45250,54499,58,38,190,16012,9.1
48813,6.4,8179,517,377,775,989,1175,1909,1313,840,175,109,52579,60851,230,183,921,24042,6
48815,5.5,828,32,45,51,50,168,203,171,72,26,10,57969,64025,28,14,62,23135,5.1
48816,59.1,25,0,0,7,0,18,0,0,0,0,0,38646,33192,6,0,6,19334,0
48817,7,2500,130,203,340,222,498,471,380,207,29,20,46559,54187,75,24,331,22065,12
48818,8.2,944,65,58,99,179,220,167,71,78,7,0,39766,47056,58,19,149,20968,9.5
48819,7.2,975,18,27,76,114,129,193,200,169,19,30,64097,74253,22,13,74,25410,4.2
48820,4.1,6591,236,194,530,366,869,1335,1072,1193,454,342,69977,84799,110,49,226,32606,5.1
48821,4,2387,94,72,189,283,379,428,358,389,119,76,61495,73431,78,31,127,30065,1
48822,2.8,1011,35,47,32,77,147,174,187,279,12,21,72679,78843,32,18,29,31122,4.7
48823,4.3,19401,3788,1492,2210,1643,2239,2459,1609,2057,965,939,38940,62655,362,235,2015,26115,8.3
48825,2.4,9,0,0,9,0,0,0,0,0,0,0,null,null,9,0,9,3030,null
48827,8.6,5708,335,278,520,680,791,1223,731,930,142,78,53865,63713,161,206,715,23012,11.1
48829,5.8,1354,191,109,220,118,230,285,112,76,10,3,37378,42353,75,62,334,17649,19.9
48831,11.1,1255,77,68,203,160,197,267,152,121,6,4,44971,52462,45,23,127,19668,11.1
48832,5.4,528,27,27,93,75,67,124,73,26,16,0,43333,50334,26,30,79,20425,7.4
48834,8.4,858,68,38,81,110,213,155,117,67,9,0,44324,50855,43,20,140,18225,11
48835,3.4,867,29,18,74,99,153,249,93,120,24,8,55443,63075,23,20,43,21536,5.5
48836,5.9,5089,356,203,512,428,728,947,1037,682,62,134,57644,65749,294,183,585,24328,6.8
48837,4.8,7408,157,399,476,605,1064,1488,1353,1239,477,150,65413,74593,103,147,630,30349,4.4
48838,7.8,6951,636,623,770,998,1055,1361,627,607,191,83,39598,53496,400,235,1232,21212,19.2
48840,4.2,5735,613,304,653,381,712,817,729,967,307,252,56128,76764,143,132,414,35381,5.5
48841,9,343,9,18,33,19,44,120,48,47,2,3,60972,63799,2,0,35,22475,1.2
48842,5.6,8028,348,410,735,868,1234,1646,1026,1227,382,152,55936,69143,149,95,757,27897,9
48843,5.4,16007,596,382,1330,1320,2345,3178,2268,3089,916,583,66229,79771,416,247,1303,29713,5.3
48845,9.5,338,34,19,43,29,63,77,40,21,11,1,45000,51529,13,12,56,19128,12.1
48846,6.9,6435,538,520,921,940,1016,1395,580,374,129,22,38393,47151,253,271,1196,15995,17.4
48847,5.2,2310,130,118,266,279,373,556,334,225,15,14,49113,57669,74,85,208,23055,7.7
48848,4.8,2659,107,55,129,360,300,629,405,497,82,95,66143,76989,75,69,162,28984,5.1
48849,6.6,2191,159,88,345,327,281,450,236,236,24,45,43381,59505,99,107,314,23511,14.6
48850,11.5,1614,146,130,235,278,212,291,154,121,23,24,36324,49640,67,46,284,18757,19.1
48851,7.4,974,36,132,74,121,138,231,135,68,39,0,48750,55219,48,59,140,21524,7.2
48852,13,28,2,5,4,3,7,2,4,0,0,1,35000,58711,0,0,1,29096,16.7
48853,5.1,233,32,16,13,24,57,54,12,22,0,3,44063,49346,3,2,36,20192,14.7
48854,4.2,6796,185,173,700,532,1104,1404,1165,1127,231,175,62039,73718,165,138,599,28070,5.3
48855,6.1,5219,227,50,284,323,650,1146,1061,1065,325,88,72997,79553,152,82,277,29719,2.8
48856,3.4,318,16,29,32,57,47,84,35,8,6,4,43056,54429,2,5,16,19901,14.7
48857,5.4,975,51,13,87,52,206,286,138,128,14,0,56317,61326,23,21,68,22728,5
48858,9,17038,3314,1763,2182,1847,1983,2498,1321,1367,431,332,31549,48763,693,475,3712,17761,16.9
48860,10.2,444,32,35,23,38,91,120,94,11,0,0,50242,50801,34,24,58,19317,4.5
48861,5.7,594,28,40,36,27,146,141,52,88,26,10,55938,65261,9,20,82,24493,7.9
48864,3.1,8072,811,256,352,529,767,1282,1158,1481,541,895,75580,99227,151,145,565,40959,6.1
48865,9.2,640,79,49,107,52,138,95,51,58,4,7,40536,48569,61,33,158,18062,15.6
48866,6,1781,109,94,201,226,254,474,245,134,31,13,50226,55661,81,50,196,20862,11.1
48867,7.7,11453,1012,713,1482,1330,1963,2324,1148,1060,260,161,44084,55875,490,421,1941,22694,13.3
48870,7.7,51,10,9,0,0,8,24,0,0,0,0,44531,40763,0,0,19,12025,45.2
48871,3.9,675,19,25,64,60,142,135,85,89,56,0,55481,66937,15,9,28,24965,3.6
48872,7.4,2933,195,247,320,333,292,629,371,456,47,43,52366,61221,134,81,309,23810,10.6
48873,5.8,642,38,35,43,37,105,237,79,65,3,0,56607,57640,19,5,24,22265,1.3
48874,0.6,93,2,0,18,21,33,12,6,0,0,1,47917,45471,6,1,7,20400,0
48875,5.4,3775,85,130,558,321,536,727,641,627,124,26,58503,65484,66,42,276,24164,6.6
48876,5.4,1607,51,65,120,215,298,305,309,170,64,10,53872,63728,63,52,193,25682,6.9
48877,8.7,949,63,105,152,152,179,166,69,54,6,3,35169,45522,71,41,194,17092,19.7
48878,8,584,57,25,87,112,62,108,62,54,6,11,38333,52663,22,22,77,20362,10.8
48879,5.1,6703,335,346,655,734,1024,1396,953,923,202,135,54628,65515,231,105,723,24658,6
48880,5,3135,273,220,662,500,358,555,268,244,50,5,32181,45802,186,151,723,14228,13.5
48881,6.6,1989,116,144,283,155,262,443,308,206,25,47,51627,60933,128,44,247,23247,13.5
48883,7.7,2670,115,101,281,238,560,652,407,239,48,29,51220,59358,96,67,294,22295,6.5
48884,9.6,1671,64,110,227,166,453,381,148,92,28,2,43258,49064,99,68,214,18529,12.1
48885,9.3,316,22,20,36,64,56,54,38,26,0,0,37222,47617,0,10,47,19438,4.6
48886,9.3,874,120,52,113,186,189,148,47,14,5,0,33534,37651,36,15,158,15603,22
48888,9.3,2464,203,154,382,400,369,479,276,150,40,11,37778,48967,125,70,461,19333,14
48889,11,540,34,31,75,67,121,103,61,38,8,2,41848,49849,17,14,67,19205,7.5
48890,8.5,732,48,17,75,67,141,147,134,82,16,5,51667,60815,27,40,105,22408,8.1
48891,8.5,1063,60,93,169,130,213,230,133,26,9,0,38345,43907,76,14,183,17273,14.9
48892,7.7,1580,84,113,101,146,154,429,300,171,43,39,63182,65738,32,15,91,24393,9.3
48893,6.5,2123,193,84,195,272,390,401,375,150,6,57,45504,57724,48,61,326,23342,13
48894,4.3,672,16,17,91,46,97,147,139,89,17,13,64688,70840,11,21,0,24609,2.8
48895,4.2,4214,205,133,365,258,355,700,722,797,324,355,77321,91415,136,51,338,34588,5.5
48896,7.6,40,0,8,7,15,0,3,7,0,0,0,25833,36150,2,0,11,11080,36
48897,5.8,560,19,24,74,51,138,93,79,65,6,11,43750,64988,10,21,67,24804,5
48906,7.9,10690,1138,637,1427,1417,1767,2094,1001,869,247,93,40956,51653,614,391,2334,21923,17.5
48910,7.6,14861,1339,1148,1996,1746,2943,3049,1523,914,135,68,40493,47393,824,550,2786,21031,14.6
48911,8.9,16360,1801,1206,2114,2117,2607,3092,1744,1251,257,171,39931,49879,960,892,4186,20157,19.5
48912,10.4,7954,957,554,1225,904,1313,1709,634,427,116,115,37954,47340,331,470,1927,21485,19.9
48915,6.8,3397,351,263,351,473,540,757,319,254,64,25,40903,51010,126,142,677,22032,18.5
48917,5.8,14580,1002,548,1253,1417,2466,3467,1821,1741,637,228,53649,63515,413,346,1573,29241,6.8
48921,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48933,11.7,1720,752,142,240,258,158,101,20,32,0,17,13938,22494,246,230,669,14340,46.7
49001,10.4,9055,1025,870,1326,1316,1565,1563,681,594,77,38,34878,43288,597,508,2166,18418,27.3
49002,7.7,8067,452,589,891,1081,1149,1674,878,924,202,227,47941,63009,275,281,1091,27071,10.7
49004,7.8,6410,431,235,813,777,1173,1289,920,521,141,110,45994,59672,265,461,869,24836,7.8
49006,9.5,9826,1250,1121,1553,1309,1515,1350,778,749,134,67,31975,43802,241,223,1652,16948,14.9
49007,12.8,4072,904,740,601,592,539,351,137,175,25,8,20237,31262,509,547,1522,14145,33.2
49008,6.8,6958,819,534,740,889,988,1078,657,691,226,336,42050,66503,153,156,1032,26994,12.7
49009,6.6,17339,1571,1102,1950,1935,2111,2696,1993,2363,798,820,50003,70298,486,648,2281,29474,10.9
49010,5.5,6873,477,418,732,687,1337,1411,868,710,122,111,47606,57994,290,277,1049,22604,11
49011,6.8,834,43,36,111,95,120,158,159,109,0,3,50882,56642,28,28,62,21323,8.3
49012,8,1373,42,27,110,145,185,353,171,217,80,43,64315,73450,30,33,76,30614,3.5
49013,6.3,1772,176,126,305,262,253,360,157,99,27,7,36063,45582,118,93,456,17236,16.4
49014,7.1,8008,601,559,1130,969,1364,1478,796,857,153,101,42670,56430,684,276,1573,21379,14.3
49015,6,10958,566,612,1254,1205,1722,2201,1681,917,423,377,51003,68300,442,304,1368,28022,8.6
49017,7.7,8433,688,517,989,1075,1415,1332,1038,942,348,89,44503,57646,556,291,1381,24457,8.4
49021,6.3,2244,63,129,205,305,368,529,317,246,61,21,51354,60327,133,84,223,23184,6.2
49022,9.9,12498,2393,1507,2131,1734,1558,1581,937,407,152,98,26155,38719,1224,875,4236,16139,28
49024,6.5,11355,528,405,1029,1011,1502,2110,2020,1752,546,452,63341,79052,288,306,1079,31835,6.9
49026,3.8,880,43,112,145,99,119,158,114,74,16,0,39028,48659,37,52,141,19011,14.2
49027,4.1,37,4,5,5,1,3,8,3,3,5,0,51250,62259,4,2,8,22409,20
49028,9.9,2171,227,132,276,269,408,419,197,188,31,24,40389,52114,141,56,353,18609,16.4
49029,8.4,555,21,39,43,58,122,165,59,31,17,0,48625,55150,26,18,46,21079,5.3
49030,9.4,830,39,48,113,126,171,184,83,55,8,3,43824,51580,39,26,102,18580,13.7
49031,6.5,2975,344,138,314,352,519,640,284,258,54,72,44203,56626,152,96,425,23223,13.2
49032,4,1107,61,103,115,121,147,248,165,96,51,0,50439,57776,27,10,70,17875,11.4
49033,2.8,740,0,40,72,95,121,120,60,194,33,5,57917,70509,38,18,30,23161,2.5
49034,3.8,851,29,36,93,79,165,175,112,118,36,8,53843,64280,40,3,50,25376,2.9
49036,5.7,8731,745,551,1162,1056,1508,1771,863,787,79,209,42750,54922,408,335,1261,20437,11.7
49037,11.2,9088,1266,987,1621,1341,1579,1360,623,251,51,9,30116,36832,862,558,2754,15587,22.7
49038,7.6,3546,233,184,545,527,595,586,366,355,70,85,43119,57145,121,159,533,22995,10.1
49040,8,1203,43,81,142,156,202,341,128,66,38,6,47917,53408,109,20,91,19918,10.5
49042,8.3,1703,164,99,215,207,303,401,159,76,64,15,45331,51991,80,62,259,19483,13.1
49043,5.5,924,132,47,198,167,128,121,80,7,20,24,29040,44681,96,82,271,14885,18.8
49045,8.7,2234,197,131,342,277,428,372,291,165,19,12,41218,49631,114,62,329,18839,11
49046,6.7,3095,129,133,375,373,604,659,356,278,74,114,48821,67317,144,98,356,27295,8.1
49047,6.3,5716,465,334,933,896,1023,873,661,403,64,64,37468,50806,433,286,999,20426,11.1
49048,7.7,10110,1090,573,1344,1173,1734,2020,989,778,148,261,43881,53769,675,591,2116,21999,16.2
49050,5.4,672,12,9,32,97,141,256,58,49,18,0,51114,57527,25,68,29,21635,3.1
49051,5.9,1054,96,0,51,87,100,293,161,173,20,73,72685,80714,59,15,52,32194,4.9
49052,4.1,443,22,7,48,52,80,90,80,51,5,8,55580,61396,17,2,36,23692,3.7
49053,7.4,2426,157,174,229,241,276,573,313,297,113,53,55851,67295,127,212,460,26000,10.8
49055,8.1,2588,233,139,324,320,389,554,326,236,14,53,43191,53914,94,68,331,22202,12.4
49056,7.9,1510,149,142,161,234,256,303,160,85,5,15,41111,52367,207,67,461,22580,19.3
